Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
Lombok Tengah,29.67,21.66
Lombok Timur,28.95,25.23
Sumbawa,40.09,35.43
Dompu,46.45,37.4
Bima,46.79,38.64
Sumbawa Barat,45.61,36.85
Lombok Utara,29.33,17.18
Kota Mataram,53.04,44.67
Kota Bima,57.88,58.6
NUSA TENGGARA TIMUR,31.83,28.92
Sumba Barat,30.06,25.7
Sumba Timur,35.91,30.84
Kupang,26.28,25.43
Timor Tengah Selatan,23.47,23.47
Timor Tengah Utara,30,28.99
Belu,29.7,25.83
Alor,37.02,26.53
Lembata,33.97,26
Flores Timur,37.41,26.4
Sikka,25.5,25.17
Ende,34.79,35.27
Ngada,32.43,33.32
Manggarai,30.49,24.24
Rote Ndao,30.63,24.76
Manggarai Barat,27.82,24.86
Sumba Tengah,31.19,24.84
Sumba Barat Daya,21.85,24.08
Nagekeo,31.12,27.06
Manggarai Timur,24.54,21.28
Sabu Raijua,25.91,25.75
Malaka,28.7,26.38
Kota Kupang,59.2,59.66
KALIMANTAN BARAT,33.88,30.46
Sambas,20.43,20.18
Bengkayang,34.14,32.81
Landak,30.92,26.94
Mempawah,28.39,25.88
Sanggau,31.01,27.13
Ketapang,26.57,26.05
Sintang,34.31,25.76
Kapuas Hulu,33.25,29.64
Sekadau,28.63,20.94
Melawi,35.02,26.24
Kayong Utara,28.89,22.54
Kubu Raya,31.94,27.43
Kota Pontianak,58.64,56.3
Kota Singkawang,39.58,37.07
KALIMANTAN TENGAH,34.4,30.86
Kotawaringin Barat,36.7,33.64
Kotawaringin Timur,26.96,23.45
Kapuas,27.41,25.33
Barito Selatan,37.98,32.15
Barito Utara,32.91,30
Sukamara,30.61,25.91
Lamandau,34.5,25.86
Seruyan,27.47,19.7
Katingan,30.27,26.17
Pulang Pisau,27.88,28.18
Gunung Mas,33.47,31.07
Barito Timur,46.5,39.52
Murung Raya,24.43,25.82
Kota Palangka Raya,62.1,58.1
KALIMANTAN SELATAN,38.24,31.86
Tanah Laut,28.75,24.74
Kotabaru,30.99,22.23
Banjar,31.74,28.09
Barito Kuala,33.33,23.7
Tapin,34.29,21.46
Hulu Sungai Selatan,29.82,28.23
Hulu Sungai Tengah,33.01,28.1
Hulu Sungai Utara,24.8,24.22
Tabalong,41.87,35.12
Tanah Bumbu,33.64,26.45
Balangan,36.03,26.81
Kota Banjarmasin,57.31,47.37
Kota Banjar Baru,60.61,57.86
KALIMANTAN TIMUR,56.36,50.68
Paser,43.64,39.81
Kutai Barat,47.93,39.36
Kutai Kartanegara,46.21,37.69
Kutai Timur,49.96,40.26
Berau,51.11,43.73
Penajam Paser Utara,39.89,37.85
Mahakam Ulu,42.6,43.45
Kota Balikpapan,67.71,60.69
Kota Samarinda,69.5,65.98
